operation,response resource,attribute,group,description,TP
post-/projects/{id}/issues/{issue_iid}/move,Milestone,created_at,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/move,Issue,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/move,Milestone,closed_at,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/move,Milestone,updated_at,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/move,Issue,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/subscribe,Milestone,closed_at,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/subscribe,Issue,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/subscribe,Milestone,updated_at,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/subscribe,Issue,due_date,due_date,"{""type"": ""string"", ""format"": ""date""}",1
post-/projects/{id}/issues/{issue_iid}/subscribe,Issue,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/subscribe,Milestone,created_at,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/todo,Milestone,closed_at,target.milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/todo,Milestone,created_at,target.milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/todo,Issue,due_date,target.due_date,"{""type"": ""string"", ""format"": ""date""}",1
post-/projects/{id}/issues/{issue_iid}/todo,Issue,created_at,target.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/todo,Milestone,updated_at,target.milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/todo,Issue,updated_at,target.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/todo,Todo,target_url,target_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Issue,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Milestone,created_at,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Milestone,closed_at,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Issue,due_date,due_date,"{""type"": ""string"", ""format"": ""date""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Issue,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Milestone,updated_at,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,assignee.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,assignee.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,assignees.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,assignees.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,author.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,author.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,assignee.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,assignee.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,assignees.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,assignees.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,assignee.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,assignee.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,assignees.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,assignees.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,author.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,web_url,author.web_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,assignee.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,assignee.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,assignees.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,assignees.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
put-/projects/{id}/issues/{issue_iid},Issue,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
put-/projects/{id}/issues/{issue_iid},Milestone,created_at,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
put-/projects/{id}/issues/{issue_iid},Milestone,updated_at,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
put-/projects/{id}/issues/{issue_iid},Issue,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
put-/projects/{id}/issues/{issue_iid},Milestone,closed_at,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
put-/projects/{id}/issues/{issue_iid},Issue,due_date,due_date,"{""type"": ""string"", ""format"": ""date""}",1
