,endpoint,group,invariant,invariantType,variables,pptname,tp_x,description,tp_y
54,put+groups_{id},projects.last_activity_at,"LENGTH(return.last_activity_at)==24
return.last_activity_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.last_activity_at)
(return.last_activity_at)","/groups/{id}&/groups/{id}&put&200&projects():::EXIT
/groups/{id}&/groups/{id}&put&200&projects():::EXIT",1.0,"{""type"": ""string"", ""format"": ""date-time""}",1.0
55,put+groups_{id},projects.web_url,"return.web_url is a substring of return.http_url_to_repo
return.web_url is a substring of return.readme_url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.http_url_to_repo, return.web_url)
(return.web_url, return.readme_url)","/groups/{id}&/groups/{id}&put&200&projects():::EXIT
/groups/{id}&/groups/{id}&put&200&projects():::EXIT",1.0,"{""type"": ""string""}",1.0
56,put+groups_{id},request_access_enabled,input.request_access_enabled == return.request_access_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.request_access_enabled, return.request_access_enabled)",/groups/{id}&/groups/{id}&put&200():::EXIT,1.0,Attribute request_access_enabled is responded to by parameter request_access_enabled with a description: Allow users to request member access,1.0
57,put+groups_{id},visibility,"input.visibility == return.visibility
return.visibility one of { ""internal"", ""private"", ""public"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(input.visibility, return.visibility)
(return.visibility)","/groups/{id}&/groups/{id}&put&200():::EXIT
/groups/{id}&/groups/{id}&put&200():::EXIT",1.0,"Attribute visibility is responded to by parameter visibility with a description: The visibility level of the group. Can beprivate,internal, orpublic",1.0
58,put+groups_{id}_hooks_{hook_id},confidential_issues_events,input.confidential_issues_events == return.confidential_issues_events,daikon.inv.binary.twoScalar.IntEqual,"(input.confidential_issues_events, return.confidential_issues_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute confidential_issues_events is responded to by parameter confidential_issues_events with a description: Trigger hook on confidential issues events,1.0
59,put+groups_{id}_hooks_{hook_id},confidential_note_events,input.confidential_note_events == return.confidential_note_events,daikon.inv.binary.twoScalar.IntEqual,"(input.confidential_note_events, return.confidential_note_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute confidential_note_events is responded to by parameter confidential_note_events with a description: Trigger hook on confidential note events,1.0
60,put+groups_{id}_hooks_{hook_id},deployment_events,input.deployment_events == return.deployment_events,daikon.inv.binary.twoScalar.IntEqual,"(input.deployment_events, return.deployment_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute deployment_events is responded to by parameter deployment_events with a description: Trigger hook on deployment events,1.0
61,put+groups_{id}_hooks_{hook_id},enable_ssl_verification,input.enable_ssl_verification == return.enable_ssl_verification,daikon.inv.binary.twoScalar.IntEqual,"(input.enable_ssl_verification, return.enable_ssl_verification)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute enable_ssl_verification is responded to by parameter enable_ssl_verification with a description: Do SSL verification when triggering the hook,1.0
62,put+groups_{id}_hooks_{hook_id},group_id,input.id == return.group_id,daikon.inv.binary.twoScalar.IntEqual,"(input.id, return.group_id)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute group_id is responded to by parameter id with a description: The ID orURL-encoded path of the group,1.0
63,put+groups_{id}_hooks_{hook_id},issues_events,input.issues_events == return.issues_events,daikon.inv.binary.twoScalar.IntEqual,"(input.issues_events, return.issues_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute issues_events is responded to by parameter issues_events with a description: Trigger hook on issues events,1.0
64,put+groups_{id}_hooks_{hook_id},job_events,input.job_events == return.job_events,daikon.inv.binary.twoScalar.IntEqual,"(input.job_events, return.job_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute job_events is responded to by parameter job_events with a description: Trigger hook on job events,1.0
65,put+groups_{id}_hooks_{hook_id},merge_requests_events,input.merge_requests_events == return.merge_requests_events,daikon.inv.binary.twoScalar.IntEqual,"(input.merge_requests_events, return.merge_requests_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute merge_requests_events is responded to by parameter merge_requests_events with a description: Trigger hook on merge requests events,1.0
66,put+groups_{id}_hooks_{hook_id},note_events,input.note_events == return.note_events,daikon.inv.binary.twoScalar.IntEqual,"(input.note_events, return.note_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute note_events is responded to by parameter note_events with a description: Trigger hook on note events,1.0
67,put+groups_{id}_hooks_{hook_id},pipeline_events,input.pipeline_events == return.pipeline_events,daikon.inv.binary.twoScalar.IntEqual,"(input.pipeline_events, return.pipeline_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute pipeline_events is responded to by parameter pipeline_events with a description: Trigger hook on pipeline events,1.0
68,put+groups_{id}_hooks_{hook_id},push_events,input.push_events == return.push_events,daikon.inv.binary.twoScalar.IntEqual,"(input.push_events, return.push_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute push_events is responded to by parameter push_events with a description: Trigger hook on push events,1.0
69,put+groups_{id}_hooks_{hook_id},releases_events,input.releases_events == return.releases_events,daikon.inv.binary.twoScalar.IntEqual,"(input.releases_events, return.releases_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute releases_events is responded to by parameter releases_events with a description: Trigger hook on release events,1.0
70,put+groups_{id}_hooks_{hook_id},tag_push_events,input.tag_push_events == return.tag_push_events,daikon.inv.binary.twoScalar.IntEqual,"(input.tag_push_events, return.tag_push_events)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute tag_push_events is responded to by parameter tag_push_events with a description: Trigger hook on tag push events,1.0
71,put+groups_{id}_hooks_{hook_id},url,input.url == return.url,daikon.inv.binary.twoString.StringEqual,"(input.url, return.url)",/groups/{id}/hooks/{hook_id}&/groups/{id}/hooks/{hook_id}&put&200():::EXIT,1.0,Attribute url is responded to by parameter url with a description: The hook URL,1.0
