kio,response resource,attribute,description,attribute inferred from operation,part,corresponding attribute,corresponding attribute description,x,name-identical,constraint_correctness,request information,API response,verification script,Example_value,verify_result,satisfied,mismatched,unknown,tp,code error,category
24,Hook,group_id,,post-/groups/{id}/hooks,parameters,id,The ID orURL-encoded path of the group,c,True,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Extract the 'id' from request_info
        id_from_request = int(request_info['id'])
        
        # Check if 'group_id' exists in the response
        if 'group_id' not in latest_response:
            return 0
        
        # Extract 'group_id' from the response
        group_id_from_response = latest_response['group_id']
        
        # Verify the constraint
        if group_id_from_response == id_from_request:
            return 1
        else:
            return -1
    except (KeyError, ValueError, TypeError):
        return -1
",3,1,1,0,0,1,0,logic
25,Hook,group_id,,get-/groups/{id}/hooks/{hook_id},parameters,id,The ID orURL-encoded path of the group,c,True,TP,"{""id"": 3}","{
  ""id"": 1,
  ""url"": ""http://example.com/hook"",
  ""name"": ""Hook name"",
  ""description"": ""Hook description"",
  ""group_id"": 3,
  ""push_events"": true,
  ""push_events_branch_filter"": """",
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": true,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""subgroup_events"": true,
  ""member_events"": true,
  ""enable_ssl_verification"": true,
  ""repository_update_events"": false,
  ""alert_status"": ""executable"",
  ""disabled_until"": null,
  ""url_variables"": [ ],
  ""created_at"": ""2012-10-12T17:04:47Z"",
  ""resource_access_token_events"": true,
  ""custom_webhook_template"": """",
  ""custom_headers"": [
    {
      ""key"": ""Authorization""
    }
  ]
}","def verify_latest_response(latest_response, request_info):
    try:
        # Extract the 'id' from request_info
        id_from_request = int(request_info['id'])
        
        # Check if 'group_id' exists in the response
        if 'group_id' not in latest_response:
            return 0
        
        # Extract 'group_id' from the response
        group_id_from_response = latest_response['group_id']
        
        # Verify the constraint
        if group_id_from_response == id_from_request:
            return 1
        else:
            return -1
    except (KeyError, ValueError, TypeError):
        return -1
",3,1,1,0,0,1,0,logic
26,Hook,group_id,,get-/groups/{id}/hooks,parameters,id,The ID orURL-encoded path of the groupof the immediate parent group,c,True,TP,"{""id"": 3}","[{
    ""id"": 1,
    ""url"": ""http://example.com/hook"",
    ""name"": ""Hook name"",
    ""description"": ""Hook description"",
    ""group_id"": 3,
    ""push_events"": true,
    ""push_events_branch_filter"": """",
    ""issues_events"": true,
    ""confidential_issues_events"": true,
    ""merge_requests_events"": true,
    ""tag_push_events"": true,
    ""note_events"": true,
    ""confidential_note_events"": true,
    ""job_events"": true,
    ""pipeline_events"": true,
    ""wiki_page_events"": true,
    ""deployment_events"": true,
    ""releases_events"": true,
    ""subgroup_events"": true,
    ""member_events"": true,
    ""enable_ssl_verification"": true,
    ""repository_update_events"": false,
    ""alert_status"": ""executable"",
    ""disabled_until"": null,
    ""url_variables"": [ ],
    ""created_at"": ""2012-10-12T17:04:47Z"",
    ""resource_access_token_events"": true,
    ""custom_webhook_template"": """",
    ""custom_headers"": [
      {
        ""key"": ""Authorization""
      }
    ]
  }]","def verify_latest_response(latest_response, request_info):
    try:
        input_id = int(request_info.get(""id""))
        if not isinstance(latest_response, list):
            return 0
        
        for hook in latest_response:
            if ""group_id"" not in hook:
                return 0
            if not isinstance(hook[""group_id""], int):
                return -1
            if hook[""group_id""] != input_id:
                return -1
        
        return 1
    except (ValueError, TypeError):
        return -1
",3,1,1,0,0,1,0,logic
27,Hook,group_id,,put-/groups/{id}/hooks/{hook_id},parameters,id,The ID orURL-encoded path of the group,c,True,TP,"{
  ""id"": ""3"",
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""hook_id"": ""12345""
}","{
  ""id"": 789,
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""group_id"": 3,
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Extract the 'id' from request_info
        id_from_request = int(request_info['id'])
        
        # Check if 'group_id' exists in the response
        if 'group_id' not in latest_response:
            return 0
        
        # Extract 'group_id' from the response
        group_id_from_response = latest_response['group_id']
        
        # Verify the constraint
        if group_id_from_response == id_from_request:
            return 1
        else:
            return -1
    except (KeyError, ValueError, TypeError):
        return -1
",3,1,1,0,0,1,0,logic
28,Hook,url,,put-/groups/{id}/hooks/{hook_id},parameters,url,The hook URL,c,False,TP,"{
  ""id"": ""3"",
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""hook_id"": ""12345""
}","{
  ""id"": 789,
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""group_id"": 3,
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'url' is present in the response
        if 'url' not in latest_response:
            return 0
        
        # Check if 'url' is a string
        if not isinstance(latest_response['url'], str):
            return -1
        
        # Check if 'url' in response matches 'url' in request_info
        if 'url' in request_info and latest_response['url'] == request_info['url']:
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",http://example.com/hook,1,1,0,0,1,0,format
29,Hook,url,,post-/groups/{id}/hooks,parameters,url,The hook URL,c,False,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'url' is present in the response
        if 'url' not in latest_response:
            return 0
        
        # Check if 'url' is a string
        if not isinstance(latest_response['url'], str):
            return -1
        
        # Check if 'url' in response matches 'url' in request_info
        if 'url' in request_info and latest_response['url'] == request_info['url']:
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",http://example.com/hook,1,1,0,0,1,0,format
30,Hook,push_events,,put-/groups/{id}/hooks/{hook_id},parameters,push_events,Trigger hook on push events,c,False,TP,"{
  ""id"": ""3"",
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""hook_id"": ""12345""
}","{
  ""id"": 789,
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""group_id"": 3,
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'push_events' is in the response
        if 'push_events' not in latest_response:
            return 0
        
        # Check if 'push_events' is a boolean
        if isinstance(latest_response['push_events'], bool):
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,logic
31,Hook,push_events,,post-/groups/{id}/hooks,parameters,push_events,Trigger hook on push events,c,False,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'push_events' is in the response
        if 'push_events' not in latest_response:
            return 0
        
        # Check if 'push_events' is a boolean
        if isinstance(latest_response['push_events'], bool):
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,logic
32,Hook,issues_events,,put-/groups/{id}/hooks/{hook_id},parameters,issues_events,Trigger hook on issues events,c,False,TP,"{
  ""id"": ""3"",
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""hook_id"": ""12345""
}","{
  ""id"": 789,
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""group_id"": 3,
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'issues_events' is in the response
        if 'issues_events' not in latest_response:
            return 0
        
        # Check if 'issues_events' is a boolean
        if isinstance(latest_response['issues_events'], bool):
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,logic
33,Hook,issues_events,,post-/groups/{id}/hooks,parameters,issues_events,Trigger hook on issues events,c,False,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'issues_events' is in the response
        if 'issues_events' not in latest_response:
            return 0
        
        # Check if 'issues_events' is a boolean
        if isinstance(latest_response['issues_events'], bool):
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,logic
34,Hook,confidential_issues_events,,put-/groups/{id}/hooks/{hook_id},parameters,confidential_issues_events,Trigger hook on confidential issues events,c,False,TP,"{
  ""id"": ""3"",
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""hook_id"": ""12345""
}","{
  ""id"": 789,
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""group_id"": 3,
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'confidential_issues_events' is in the response
        if 'confidential_issues_events' not in latest_response:
            return 0
        
        # Extract the value of 'confidential_issues_events' from the response
        response_value = latest_response['confidential_issues_events']
        
        # Ensure the value is a boolean
        if not isinstance(response_value, bool):
            return -1
        
        # Extract the expected value from the request_info
        expected_value = request_info.get('confidential_issues_events')
                
        # Compare the response value with the expected value
        if response_value == expected_value:
            return 1
        else:
            return -1
    except Exception as e:
        # In case of any unexpected error, return -1
        return -1
",True,1,1,0,0,1,0,logic
35,Hook,confidential_issues_events,,post-/groups/{id}/hooks,parameters,confidential_issues_events,Trigger hook on confidential issues events,c,False,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'confidential_issues_events' is in the response
        if 'confidential_issues_events' not in latest_response:
            return 0
        
        # Extract the value of 'confidential_issues_events' from the response
        response_value = latest_response['confidential_issues_events']
        
        # Ensure the value is a boolean
        if not isinstance(response_value, bool):
            return -1
        
        # Extract the expected value from the request_info
        expected_value = request_info.get('confidential_issues_events')
                
        # Compare the response value with the expected value
        if response_value == expected_value:
            return 1
        else:
            return -1
    except Exception as e:
        # In case of any unexpected error, return -1
        return -1
",True,1,1,0,0,1,0,logic
36,Hook,merge_requests_events,,put-/groups/{id}/hooks/{hook_id},parameters,merge_requests_events,Trigger hook on merge requests events,c,False,TP,"{
  ""id"": ""3"",
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""hook_id"": ""12345""
}","{
  ""id"": 789,
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""group_id"": 3,
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'merge_requests_events' is in the response
        if 'merge_requests_events' not in latest_response:
            return 0
        
        # Check if 'merge_requests_events' in the response is a boolean
        if isinstance(latest_response['merge_requests_events'], bool):
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,logic
37,Hook,merge_requests_events,,post-/groups/{id}/hooks,parameters,merge_requests_events,Trigger hook on merge requests events,c,False,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'merge_requests_events' is in the response
        if 'merge_requests_events' not in latest_response:
            return 0
        
        # Check if 'merge_requests_events' in the response is a boolean
        if isinstance(latest_response['merge_requests_events'], bool):
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,logic
38,Hook,tag_push_events,,put-/groups/{id}/hooks/{hook_id},parameters,tag_push_events,Trigger hook on tag push events,c,False,TP,"{
  ""id"": ""3"",
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""hook_id"": ""12345""
}","{
  ""id"": 789,
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""group_id"": 3,
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'tag_push_events' is in the response
        if 'tag_push_events' not in latest_response:
            return 0
        
        # Check if 'tag_push_events' is a boolean
        if isinstance(latest_response['tag_push_events'], bool):
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,logic
39,Hook,tag_push_events,,post-/groups/{id}/hooks,parameters,tag_push_events,Trigger hook on tag push events,c,False,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'tag_push_events' is in the response
        if 'tag_push_events' not in latest_response:
            return 0
        
        # Check if 'tag_push_events' is a boolean
        if isinstance(latest_response['tag_push_events'], bool):
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,logic
40,Hook,note_events,,put-/groups/{id}/hooks/{hook_id},parameters,note_events,Trigger hook on note events,c,False,TP,"{
  ""id"": ""3"",
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""hook_id"": ""12345""
}","{
  ""id"": 789,
  ""url"": ""https://webhooks.myapp.com/gitlab"",
  ""group_id"": 3,
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": true,
  ""merge_requests_events"": true,
  ""tag_push_events"": true,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": false,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": false,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'note_events' is in the response
        if 'note_events' not in latest_response:
            return 0  # Attribute does not exist in the response
        
        # Check if 'note_events' is of type boolean
        if isinstance(latest_response['note_events'], bool):
            return 1  # Constraint is satisfied
        else:
            return -1  # Constraint is not satisfied
    except Exception as e:
        return -1  # In case of any exception, return -1
",True,1,1,0,0,1,0,logic
41,Hook,note_events,,post-/groups/{id}/hooks,parameters,note_events,Trigger hook on note events,c,False,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'note_events' is in the response
        if 'note_events' not in latest_response:
            return 0  # Attribute does not exist in the response
        
        # Check if 'note_events' is of type boolean
        if isinstance(latest_response['note_events'], bool):
            return 1  # Constraint is satisfied
        else:
            return -1  # Constraint is not satisfied
    except Exception as e:
        return -1  # In case of any exception, return -1
",True,1,1,0,0,1,0,logic
42,Hook,confidential_note_events,,post-/groups/{id}/hooks,parameters,confidential_note_events,Trigger hook on confidential note events,c,False,TP,"{
  ""id"": ""456"",
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true
}","{
  ""group_id"": 456,
  ""url"": ""https://webhooks.company.com/gitlab"",
  ""push_events"": true,
  ""issues_events"": true,
  ""confidential_issues_events"": false,
  ""merge_requests_events"": true,
  ""tag_push_events"": false,
  ""note_events"": true,
  ""confidential_note_events"": false,
  ""job_events"": true,
  ""pipeline_events"": true,
  ""wiki_page_events"": true,
  ""deployment_events"": true,
  ""releases_events"": true,
  ""enable_ssl_verification"": true,
  ""created_at"": ""2024-06-07T12:34:56.000Z""
}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'confidential_note_events' exists in request_info and is a boolean
        if 'confidential_note_events' in request_info:
            if not isinstance(request_info['confidential_note_events'], bool):
                return -1
        
        # Check if 'confidential_note_events' exists in latest_response and is a boolean
        if 'confidential_note_events' in latest_response:
            if isinstance(latest_response['confidential_note_events'], bool):
                return 1
            else:
                return -1
        else:
            return 0
    except Exception as e:
        print(f""An error occurred: {e}"")
        return -1
",True,1,1,0,0,1,0,logic
