endpoint,group,invariant,invariantType,variables,pptname,tp
get+groups,statistics.job_artifacts_size,"return.statistics.job_artifacts_size == return.statistics.lfs_objects_size
return.statistics.job_artifacts_size == return.statistics.packages_size
return.statistics.job_artifacts_size == return.statistics.snippets_size
return.statistics.job_artifacts_size == 0
return.default_branch_protection >= return.statistics.job_artifacts_size
return.statistics.job_artifacts_size <= return.statistics.repository_size
return.statistics.job_artifacts_size <= return.statistics.wiki_size
return.statistics.job_artifacts_size <= return.two_factor_grace_period","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntLessEqual","(return.statistics.job_artifacts_size, return.statistics.lfs_objects_size)
(return.statistics.job_artifacts_size, return.statistics.packages_size)
(return.statistics.job_artifacts_size, return.statistics.snippets_size)
(return.statistics.job_artifacts_size)
(return.default_branch_protection, return.statistics.job_artifacts_size)
(return.statistics.job_artifacts_size, return.statistics.repository_size)
(return.statistics.job_artifacts_size, return.statistics.wiki_size)
(return.statistics.job_artifacts_size, return.two_factor_grace_period)","/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT",1.0
get+groups,statistics.repository_size,"return.statistics.repository_size >= 0
return.statistics.repository_size >= return.statistics.wiki_size","daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.statistics.repository_size)
(return.statistics.repository_size, return.statistics.wiki_size)","/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT",1.0
get+groups,statistics.storage_size,"return.statistics.storage_size >= 0
return.statistics.job_artifacts_size <= return.statistics.storage_size
return.statistics.repository_size <= return.statistics.storage_size
return.statistics.storage_size >= return.statistics.wiki_size","daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.statistics.storage_size)
(return.statistics.job_artifacts_size, return.statistics.storage_size)
(return.statistics.repository_size, return.statistics.storage_size)
(return.statistics.storage_size, return.statistics.wiki_size)","/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT",1.0
get+groups,statistics.wiki_size,return.statistics.wiki_size >= 0,daikon.inv.unary.scalar.LowerBound,(return.statistics.wiki_size),/groups&/groups&get&200():::EXIT,1.0
get+groups,subgroup_creation_level,"return.subgroup_creation_level one of { ""maintainer"", ""owner"" }",daikon.inv.unary.string.OneOfString,(return.subgroup_creation_level),/groups&/groups&get&200():::EXIT,1.0
get+groups,two_factor_grace_period,return.two_factor_grace_period >= 0,daikon.inv.unary.scalar.LowerBound,(return.two_factor_grace_period),/groups&/groups&get&200():::EXIT,1.0
get+groups,visibility,"return.visibility one of { ""internal"", ""private"", ""public"" }",daikon.inv.unary.string.OneOfString,(return.visibility),/groups&/groups&get&200():::EXIT,1.0
get+groups_{id},created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/groups/{id}&/groups/{id}&get&200():::EXIT
/groups/{id}&/groups/{id}&get&200():::EXIT",1.0
get+groups_{id},full_path,"return.full_path == return.path
return.full_path is a substring of return.web_url","daikon.inv.binary.twoString.StringEqual
daikon.inv.binary.twoString.StdString$SubString","(return.full_path, return.path)
(return.full_path, return.web_url)","/groups/{id}&/groups/{id}&get&200():::EXIT
/groups/{id}&/groups/{id}&get&200():::EXIT",0.5
get+groups_{id},id,input.id == return.id,daikon.inv.binary.twoScalar.IntEqual,"(input.id, return.id)",/groups/{id}&/groups/{id}&get&200():::EXIT,1.0
get+groups_{id},name,return.full_name == return.name,daikon.inv.binary.twoString.StringEqual,"(return.full_name, return.name)",/groups/{id}&/groups/{id}&get&200():::EXIT,0.0
get+groups_{id},projects,"size(return.projects[]) one of { 0, 5, 15 }
size(return.projects[]) >= size(return.shared_with_groups[])","daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntGreaterEqual","(size(return.projects[..]))
(size(return.projects[..]), size(return.shared_with_groups[..]))","/groups/{id}&/groups/{id}&get&200():::EXIT
/groups/{id}&/groups/{id}&get&200():::EXIT",0.5
get+groups_{id},projects._links.self,"return._links.self is a substring of return._links.issues
return._links.self is a substring of return._links.merge_requests
return._links.self is a substring of return._links.repo_branches
return._links.self is a substring of return._links.labels
return._links.self is a substring of return._links.events
return._links.self is a substring of return._links.members","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return._links.self, return._links.issues)
(return._links.self, return._links.merge_requests)
(return._links.self, return._links.repo_branches)
(return._links.self, return._links.labels)
(return._links.self, return._links.events)
(return._links.self, return._links.members)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",1.0
get+groups_{id},projects.allow_merge_on_skipped_pipeline,"input.with_custom_attributes == return.allow_merge_on_skipped_pipeline
return.allow_merge_on_skipped_pipeline == false","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(input.with_custom_attributes, return.allow_merge_on_skipped_pipeline)
(return.allow_merge_on_skipped_pipeline)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.archived,return.archived == return.allow_merge_on_skipped_pipeline,daikon.inv.binary.twoScalar.IntEqual,"(return.archived, return.allow_merge_on_skipped_pipeline)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.autoclose_referenced_issues,input.with_projects == return.autoclose_referenced_issues,daikon.inv.binary.twoScalar.IntEqual,"(input.with_projects, return.autoclose_referenced_issues)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.can_create_merge_request_in,input.with_projects == return.can_create_merge_request_in,daikon.inv.binary.twoScalar.IntEqual,"(input.with_projects, return.can_create_merge_request_in)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.container_registry_enabled,"input.with_projects == return.container_registry_enabled
return.container_registry_enabled == return.allow_merge_on_skipped_pipeline","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual","(input.with_projects, return.container_registry_enabled)
(return.container_registry_enabled, return.allow_merge_on_skipped_pipeline)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",1.0
get+groups_{id},projects.creator_id,"return.creator_id one of { 1, 7, 8 }",daikon.inv.unary.scalar.OneOfScalar,(return.creator_id),/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.default_branch,"return.default_branch one of { ""main"", ""master"" }
return.default_branch is a substring of return.readme_url","daikon.inv.unary.string.OneOfString
daikon.inv.binary.twoString.StdString$SubString","(return.default_branch)
(return.default_branch, return.readme_url)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.5
get+groups_{id},projects.forks_count,"return.forks_count one of { 0, 1, 4 }
return.forks_count >= size(return.shared_with_groups[])","daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.forks_count)
(return.forks_count, size(return.shared_with_groups[..]))","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.import_status,"return.import_status one of { ""finished"", ""none"" }",daikon.inv.unary.string.OneOfString,(return.import_status),/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.issues_enabled,input.with_projects == return.issues_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.with_projects, return.issues_enabled)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.jobs_enabled,input.with_projects == return.jobs_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.with_projects, return.jobs_enabled)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.last_activity_at,"LENGTH(return.last_activity_at)==24
return.last_activity_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.last_activity_at)
(return.last_activity_at)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",1.0
get+groups_{id},projects.merge_method,"return.merge_method one of { ""ff"", ""merge"", ""rebase_merge"" }",daikon.inv.unary.string.OneOfString,(return.merge_method),/groups/{id}&/groups/{id}&get&200&projects():::EXIT,1.0
get+groups_{id},projects.merge_requests_enabled,input.with_projects == return.merge_requests_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.with_projects, return.merge_requests_enabled)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.name_with_namespace,"return.name is a substring of return.name_with_namespace
return.namespace.name is a substring of return.name_with_namespace","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.name, return.name_with_namespace)
(return.name_with_namespace, return.namespace.name)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",1.0
get+groups_{id},projects.namespace.id,input.id == return.namespace.id,daikon.inv.binary.twoScalar.IntEqual,"(input.id, return.namespace.id)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,1.0
get+groups_{id},projects.namespace.kind,"return.namespace.kind == ""group""
LENGTH(return.namespace.kind)==5","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.namespace.kind)
(return.namespace.kind)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",1.0
get+groups_{id},projects.namespace.name,"return.namespace.name one of { ""Valid Group 1"", ""org"" }",daikon.inv.unary.string.OneOfString,(return.namespace.name),/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.namespace.path,"return.namespace.path == return.namespace.full_path
return.namespace.path one of { ""org"", ""valid-group-1"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(return.namespace.path, return.namespace.full_path)
(return.namespace.path)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.only_allow_merge_if_pipeline_succeeds,"return.only_allow_merge_if_pipeline_succeeds == return.allow_merge_on_skipped_pipeline
return.only_allow_merge_if_pipeline_succeeds == false","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(return.only_allow_merge_if_pipeline_succeeds, return.allow_merge_on_skipped_pipeline)
(return.only_allow_merge_if_pipeline_succeeds)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.open_issues_count,"return.open_issues_count == size(return.shared_with_groups[])
return.open_issues_count == 0
return.open_issues_count <= return.forks_count
return.open_issues_count <= return.star_count","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntLessEqual","(return.open_issues_count, size(return.shared_with_groups[..]))
(return.open_issues_count)
(return.open_issues_count, return.forks_count)
(return.open_issues_count, return.star_count)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.path_with_namespace,"return.path_with_namespace is a substring of return.ssh_url_to_repo
return.path_with_namespace is a substring of return.web_url
return.path is a substring of return.path_with_namespace
return.namespace.path is a substring of return.path_with_namespace","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.ssh_url_to_repo, return.path_with_namespace)
(return.web_url, return.path_with_namespace)
(return.path, return.path_with_namespace)
(return.path_with_namespace, return.namespace.path)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",1.0
get+groups_{id},projects.public_jobs,"input.with_projects == return.public_jobs
return.public_jobs == return.remove_source_branch_after_merge
return.public_jobs == true","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(input.with_projects, return.public_jobs)
(return.public_jobs, return.remove_source_branch_after_merge)
(return.public_jobs)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.request_access_enabled,input.with_projects == return.request_access_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.with_projects, return.request_access_enabled)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.shared_runners_enabled,input.with_projects == return.shared_runners_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.with_projects, return.shared_runners_enabled)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.shared_with_groups,return.shared_with_groups[] == [],daikon.inv.unary.sequence.OneOfSequence,(return.shared_with_groups[..]),/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.snippets_enabled,"input.with_projects == return.snippets_enabled
return.snippets_enabled == return.allow_merge_on_skipped_pipeline","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual","(input.with_projects, return.snippets_enabled)
(return.snippets_enabled, return.allow_merge_on_skipped_pipeline)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.star_count,"return.star_count one of { 0, 1, 2 }
return.star_count >= size(return.shared_with_groups[])","daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.star_count)
(return.star_count, size(return.shared_with_groups[..]))","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.suggestion_commit_message,"return.suggestion_commit_message == ""mnemotechnic""",daikon.inv.unary.string.OneOfString,(return.suggestion_commit_message),/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},projects.tag_list,"return.tag_list[] elements == ""day-to-day""
return.tag_list[] one of { [], [day-to-day] }
All the elements of return.tag_list[] have LENGTH=10
size(return.tag_list[]) one of { 0, 1 }
return.open_issues_count <= size(return.tag_list[])
return.creator_id >= size(return.tag_list[])
return.forks_count >= size(return.tag_list[])
return.star_count >= size(return.tag_list[])
size(return.tag_list[]) >= size(return.shared_with_groups[])","daikon.inv.unary.stringsequence.EltOneOfString
daikon.inv.unary.stringsequence.OneOfStringSequence
daikon.inv.unary.stringsequence.SequenceFixedLengthString
daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.tag_list[..])
(return.tag_list[..])
(return.tag_list[..])
(size(return.tag_list[..]))
(return.open_issues_count, size(return.tag_list[..]))
(return.creator_id, size(return.tag_list[..]))
(return.forks_count, size(return.tag_list[..]))
(return.star_count, size(return.tag_list[..]))
(size(return.tag_list[..]), size(return.shared_with_groups[..]))","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.1111111111111111
get+groups_{id},projects.visibility,"return.visibility == ""private""
LENGTH(return.visibility)==7","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.visibility)
(return.visibility)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",0.0
get+groups_{id},projects.web_url,"return.web_url is a substring of return.http_url_to_repo
return.web_url is a substring of return.readme_url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.http_url_to_repo, return.web_url)
(return.web_url, return.readme_url)","/groups/{id}&/groups/{id}&get&200&projects():::EXIT
/groups/{id}&/groups/{id}&get&200&projects():::EXIT",1.0
get+groups_{id},projects.wiki_enabled,input.with_projects == return.wiki_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.with_projects, return.wiki_enabled)",/groups/{id}&/groups/{id}&get&200&projects():::EXIT,0.0
get+groups_{id},runners_token,LENGTH(return.runners_token)==29,daikon.inv.unary.string.FixedLengthString,(return.runners_token),/groups/{id}&/groups/{id}&get&200():::EXIT,0.0
get+groups_{id},shared_projects,"size(return.shared_projects[]) one of { 0, 1 }
size(return.shared_projects[]) >= size(return.shared_with_groups[])","daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntGreaterEqual","(size(return.shared_projects[..]))
(size(return.shared_projects[..]), size(return.shared_with_groups[..]))","/groups/{id}&/groups/{id}&get&200():::EXIT
/groups/{id}&/groups/{id}&get&200():::EXIT",0.5
get+groups_{id},shared_with_groups,return.shared_with_groups[] == [],daikon.inv.unary.sequence.OneOfSequence,(return.shared_with_groups[..]),/groups/{id}&/groups/{id}&get&200():::EXIT,0.0
get+groups_{id},visibility,"return.visibility one of { ""internal"", ""private"", ""public"" }",daikon.inv.unary.string.OneOfString,(return.visibility),/groups/{id}&/groups/{id}&get&200():::EXIT,1.0
get+groups_{id}_descendant_groups,array,"input.per_page >= size(return.array[])
input.skip_groups[] elements > size(return.array[])","daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.sequenceScalar.SeqIntGreaterThan","(input.per_page, size(return.array[..]))
(input.skip_groups[..], size(return.array[..]))","/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200%array():::EXIT
/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200%array():::EXIT",0.5
get+groups_{id}_descendant_groups,auto_devops_enabled,"return.auto_devops_enabled one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.auto_devops_enabled),/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT,1.0
get+groups_{id}_descendant_groups,created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT
/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT",1.0
get+groups_{id}_descendant_groups,default_branch_protection,"return.default_branch_protection one of { 0, 1, 2 }",daikon.inv.unary.scalar.OneOfScalar,(return.default_branch_protection),/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT,1.0
get+groups_{id}_descendant_groups,emails_disabled,"return.emails_disabled one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.emails_disabled),/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT,1.0
get+groups_{id}_descendant_groups,full_path,"return.path is a substring of return.full_path
return.full_path is a substring of return.web_url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.full_path, return.path)
(return.full_path, return.web_url)","/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT
/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT",1.0
get+groups_{id}_descendant_groups,id,input.id < return.id,daikon.inv.binary.twoScalar.IntLessThan,"(input.id, return.id)",/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT,1.0
get+groups_{id}_descendant_groups,input.skip_groups[statistics.job_artifacts_size],input.skip_groups[] elements == input.skip_groups[return.statistics.job_artifacts_size],daikon.inv.binary.sequenceScalar.SeqIntEqual,"(input.skip_groups[..], input.skip_groups[return.statistics.job_artifacts_size])",/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT,1.0
get+groups_{id}_descendant_groups,mentions_disabled,"return.mentions_disabled one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.mentions_disabled),/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT,1.0
get+groups_{id}_descendant_groups,name,return.name is a substring of return.full_name,daikon.inv.binary.twoString.StdString$SubString,"(return.full_name, return.name)",/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT,1.0
get+groups_{id}_descendant_groups,parent_id,"LENGTH(return.parent_id)==3
return.parent_id is Numeric","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsNumeric","(return.parent_id)
(return.parent_id)","/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT
/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT",0.5
get+groups_{id}_descendant_groups,project_creation_level,"return.project_creation_level one of { ""developer"", ""maintainer"", ""noone"" }",daikon.inv.unary.string.OneOfString,(return.project_creation_level),/groups/{id}/descendant_groups&/groups/{id}/descendant_groups&get&200():::EXIT,1.0
