operation,response resource,attribute,group,description,part,corresponding attribute,corresponding attribute description
post-/projects,BasicProjectDetails,auto_devops_enabled,auto_devops_enabled,,parameters,auto_devops_enabled,Enable Auto DevOps for this project
post-/projects,BasicProjectDetails,packages_enabled,packages_enabled,,parameters,packages_enabled,Enable or disable packages repository feature
post-/projects,BasicProjectDetails,service_desk_enabled,service_desk_enabled,,parameters,snippets_enabled,(Deprecated)Enable snippets for this project. Use snippets_access_level instead
post-/projects,BasicProjectDetails,autoclose_referenced_issues,autoclose_referenced_issues,,parameters,autoclose_referenced_issues,Set whether auto-closing referenced issues on default branch
post-/projects,BasicProjectDetails,description,description,,parameters,description,Short project description
post-/projects,BasicProjectDetails,default_branch,default_branch,,parameters,default_branch,master by default
post-/projects,BasicProjectDetails,visibility,visibility,,parameters,visibility,See project visibility level
post-/projects,BasicProjectDetails,name,name,,parameters,name,"The name of the new project. Either path or name is required, not both"
post-/projects,BasicProjectDetails,path,path,,parameters,path,Repository name for new project. Generated based on name if not provided (generated as lowercase with dashes)
post-/projects,BasicProjectDetails,merge_method,merge_method,,parameters,merge_method,Set the merge method used
post-/projects,BasicProjectDetails,auto_devops_deploy_strategy,auto_devops_deploy_strategy,,parameters,auto_devops_deploy_strategy,Auto Deploy strategy
post-/projects,BasicProjectDetails,repository_storage,repository_storage,,parameters,repository_storage,Which storage shard the repository is on.(admins only)
post-/projects,BasicProjectDetails,tag_list,tag_list,,parameters,tag_list,"The list of tags for a project; put array of tags, that should be finally assigned to a project"
post-/projects/{id}/protected_branches,ProtectedBranch,id,id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
post-/projects/{id}/protected_branches,ProtectedBranch,name,name,,parameters,name,The name of the branch or wildcard
post-/projects/{id}/protected_branches,ProtectedBranch,allow_force_push,allow_force_push,,parameters,allow_force_push,Allow force push for all users with push access
post-/projects/{id}/repository/branches,Branch,name,name,,parameters,branch,The name of the branch
