pptname,invariant,invariantType,variables,postmanAssertion,tp,fp,enter,bug,group
/artists/{id}/albums&getArtistAlbums&200():::EXIT,return.next is Url,daikon.inv.unary.string.IsUrl,(return.next),"pm.expect(return_next).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",1,0,0,0,next
/artists/{id}/albums&getArtistAlbums&200():::EXIT,return.offset >= 0,daikon.inv.unary.scalar.LowerBound,(return.offset),pm.expect(return_offset).to.be.at.least(0),1,0,0,0,offset
/artists/{id}/albums&getArtistAlbums&200():::EXIT,return.previous is Url,daikon.inv.unary.string.IsUrl,(return.previous),"pm.expect(return_previous).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",1,0,0,0,previous
/artists/{id}/albums&getArtistAlbums&200():::EXIT,input.id is a substring of return.href,daikon.inv.binary.twoString.StdString$SubString,"(input.id, return.href)",pm.expect(return_href.includes(input_id)).to.be.true,1,0,0,0,href
/artists/{id}/albums&getArtistAlbums&200():::EXIT,input.id is a substring of return.next,daikon.inv.binary.twoString.StdString$SubString,"(input.id, return.next)",pm.expect(return_next.includes(input_id)).to.be.true,1,0,0,0,next
/artists/{id}/albums&getArtistAlbums&200():::EXIT,input.id is a substring of return.previous,daikon.inv.binary.twoString.StdString$SubString,"(input.id, return.previous)",pm.expect(return_previous.includes(input_id)).to.be.true,1,0,0,0,previous
/artists/{id}/albums&getArtistAlbums&200():::EXIT,input.limit >= size(return.items[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.items[..]))",pm.expect(input_limit).to.be.at.least(return_items_size_array),1,0,0,0,items
/artists/{id}/albums&getArtistAlbums&200():::EXIT,input.market is a substring of return.href,daikon.inv.binary.twoString.StdString$SubString,"(input.market, return.href)",pm.expect(return_href.includes(input_market)).to.be.true,1,0,0,0,href
/artists/{id}/albums&getArtistAlbums&200():::EXIT,input.market is a substring of return.next,daikon.inv.binary.twoString.StdString$SubString,"(input.market, return.next)",pm.expect(return_next.includes(input_market)).to.be.true,1,0,0,0,next
/artists/{id}/albums&getArtistAlbums&200():::EXIT,input.market is a substring of return.previous,daikon.inv.binary.twoString.StdString$SubString,"(input.market, return.previous)",pm.expect(return_previous.includes(input_market)).to.be.true,1,0,0,0,previous
/artists/{id}/albums&getArtistAlbums&200():::EXIT,return.limit >= size(return.items[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(return.limit, size(return.items[..]))",pm.expect(return_limit).to.be.at.least(return_items_size_array),1,0,0,0,limit
/artists/{id}/albums&getArtistAlbums&200():::EXIT,return.total >= size(return.items[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(return.total, size(return.items[..]))",pm.expect(return_total).to.be.at.least(return_items_size_array),1,0,0,0,total
