group,invariant,invariantType,variables,pptname,tp
items.id,"LENGTH(return.id)==11
return.id in input.id[]
return.id is a substring of return.player.embedHtml
return.id is a substring of return.snippet.thumbnails.default.url
return.id is a substring of return.snippet.thumbnails.high.url
return.id is a substring of return.snippet.thumbnails.maxres.url
return.id is a substring of return.snippet.thumbnails.medium.url
return.id is a substring of return.snippet.thumbnails.standard.url","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.sequenceString.MemberString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.id)
(input.id[..], return.id)
(return.id, return.player.embedHtml)
(return.id, return.snippet.thumbnails.default.url)
(return.id, return.snippet.thumbnails.high.url)
(return.id, return.snippet.thumbnails.maxres.url)
(return.id, return.snippet.thumbnails.medium.url)
(return.id, return.snippet.thumbnails.standard.url)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.kind,"return.kind == ""youtube#video""
LENGTH(return.kind)==13","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.kind)
(return.kind)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.liveStreamingDetails.actualEndTime,"LENGTH(return.liveStreamingDetails.actualEndTime)==20
return.liveStreamingDetails.actualEndTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.liveStreamingDetails.actualEndTime)
(return.liveStreamingDetails.actualEndTime)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.liveStreamingDetails.actualStartTime,"LENGTH(return.liveStreamingDetails.actualStartTime)==20
return.liveStreamingDetails.actualStartTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.liveStreamingDetails.actualStartTime)
(return.liveStreamingDetails.actualStartTime)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.liveStreamingDetails.scheduledStartTime,"LENGTH(return.liveStreamingDetails.scheduledStartTime)==20
return.liveStreamingDetails.scheduledStartTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.liveStreamingDetails.scheduledStartTime)
(return.liveStreamingDetails.scheduledStartTime)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.monetizationDetails,return.monetizationDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.monetizationDetails),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.monetizationDetails.access,return.monetizationDetails.access == null,daikon.inv.unary.scalar.OneOfScalar,(return.monetizationDetails.access),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.player.embedHeight,"return.player.embedHeight is Numeric
return.player.embedHeight is a substring of return.player.embedHtml","daikon.inv.unary.string.IsNumeric
daikon.inv.binary.twoString.StdString$SubString","(return.player.embedHeight)
(return.player.embedHeight, return.player.embedHtml)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.player.embedHtml,return.player.embedWidth is a substring of return.player.embedHtml,daikon.inv.binary.twoString.StdString$SubString,"(return.player.embedHtml, return.player.embedWidth)",/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.player.embedWidth,return.player.embedWidth is Numeric,daikon.inv.unary.string.IsNumeric,(return.player.embedWidth),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.processingDetails,return.processingDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.processingDetails),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.processingDetails.processingProgress,return.processingDetails.processingProgress == null,daikon.inv.unary.scalar.OneOfScalar,(return.processingDetails.processingProgress),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.projectDetails,return.projectDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.projectDetails),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.recordingDetails.location.altitude,return.recordingDetails.location.altitude == 0.0,daikon.inv.unary.scalar.OneOfFloat,(return.recordingDetails.location.altitude),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.categoryId,return.snippet.categoryId is Numeric,daikon.inv.unary.string.IsNumeric,(return.snippet.categoryId),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.channelId,LENGTH(return.snippet.channelId)==24,daikon.inv.unary.string.FixedLengthString,(return.snippet.channelId),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.publishedAt,"LENGTH(return.snippet.publishedAt)==20
return.snippet.publishedAt is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.snippet.publishedAt)
(return.snippet.publishedAt)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.snippet.thumbnails.default.height,return.snippet.thumbnails.default.height == 90,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.default.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.default.width,return.snippet.thumbnails.default.width == 120,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.default.width),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.high.height,return.snippet.thumbnails.high.height == 360,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.high.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.high.width,"return.snippet.thumbnails.high.width == return.snippet.thumbnails.standard.height
return.snippet.thumbnails.high.width == 480","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(return.snippet.thumbnails.high.width, return.snippet.thumbnails.standard.height)
(return.snippet.thumbnails.high.width)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.snippet.thumbnails.maxres.height,return.snippet.thumbnails.maxres.height == 720,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.maxres.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.maxres.width,return.snippet.thumbnails.maxres.width == 1280,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.maxres.width),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.medium.height,return.snippet.thumbnails.medium.height == 180,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.medium.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.medium.width,return.snippet.thumbnails.medium.width == 320,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.medium.width),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.standard.height,return.snippet.thumbnails.standard.height == 480,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.standard.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.standard.width,return.snippet.thumbnails.standard.width == 640,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.standard.width),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.statistics.commentCount,return.statistics.commentCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.commentCount),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.statistics.favoriteCount,"return.statistics.favoriteCount == ""0""
LENGTH(return.statistics.favoriteCount)==1
return.statistics.favoriteCount is Numeric","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsNumeric","(return.statistics.favoriteCount)
(return.statistics.favoriteCount)
(return.statistics.favoriteCount)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.statistics.likeCount,return.statistics.likeCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.likeCount),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.statistics.viewCount,return.statistics.viewCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.viewCount),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.status.license,"return.status.license one of { ""creativeCommon"", ""youtube"" }",daikon.inv.unary.string.OneOfString,(return.status.license),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.suggestions,return.suggestions == null,daikon.inv.unary.scalar.OneOfScalar,(return.suggestions),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.suggestions.editorSuggestions,"return.suggestions.editorSuggestions == return.suggestions.processingErrors
return.suggestions.editorSuggestions == return.suggestions.processingHints
return.suggestions.editorSuggestions == return.suggestions.processingWarnings
return.suggestions.editorSuggestions == return.topicDetails.relevantTopicIds
return.suggestions.editorSuggestions == return.topicDetails.topicIds
return.suggestions.editorSuggestions == null","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(return.suggestions.editorSuggestions, return.suggestions.processingErrors)
(return.suggestions.editorSuggestions, return.suggestions.processingHints)
(return.suggestions.editorSuggestions, return.suggestions.processingWarnings)
(return.suggestions.editorSuggestions, return.topicDetails.relevantTopicIds)
(return.suggestions.editorSuggestions, return.topicDetails.topicIds)
(return.suggestions.editorSuggestions)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.suggestions.tagSuggestions,return.suggestions.tagSuggestions == null,daikon.inv.unary.scalar.OneOfScalar,(return.suggestions.tagSuggestions),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
kind,"return.kind == ""youtube#videoListResponse""
LENGTH(return.kind)==25","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.kind)
(return.kind)","/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT",1.0
nextPageToken,LENGTH(return.nextPageToken)==6,daikon.inv.unary.string.FixedLengthString,(return.nextPageToken),/youtube/v3/videos&getVideos&200():::EXIT,1.0
tokenPagination,return.tokenPagination == null,daikon.inv.unary.scalar.OneOfScalar,(return.tokenPagination),/youtube/v3/videos&getVideos&200():::EXIT,1.0
