group,invariant,invariantType,variables,pptname,tp
items.snippet.thumbnails.default.height,return.snippet.thumbnails.default.height == 90,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.default.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.default.url,"LENGTH(return.snippet.thumbnails.default.url)==46
return.snippet.thumbnails.default.url is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.snippet.thumbnails.default.url)
(return.snippet.thumbnails.default.url)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",0.5
items.snippet.thumbnails.default.width,return.snippet.thumbnails.default.width == 120,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.default.width),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.high.height,return.snippet.thumbnails.high.height == 360,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.high.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.high.url,"LENGTH(return.snippet.thumbnails.high.url)==48
return.snippet.thumbnails.high.url is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.snippet.thumbnails.high.url)
(return.snippet.thumbnails.high.url)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",0.5
items.snippet.thumbnails.high.width,"return.snippet.thumbnails.high.width == return.snippet.thumbnails.standard.height
return.snippet.thumbnails.high.width == 480","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(return.snippet.thumbnails.high.width, return.snippet.thumbnails.standard.height)
(return.snippet.thumbnails.high.width)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.snippet.thumbnails.maxres.height,return.snippet.thumbnails.maxres.height == 720,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.maxres.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.maxres.url,"LENGTH(return.snippet.thumbnails.maxres.url)==52
return.snippet.thumbnails.maxres.url is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.snippet.thumbnails.maxres.url)
(return.snippet.thumbnails.maxres.url)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",0.5
items.snippet.thumbnails.maxres.width,return.snippet.thumbnails.maxres.width == 1280,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.maxres.width),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.medium.height,return.snippet.thumbnails.medium.height == 180,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.medium.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.medium.url,"LENGTH(return.snippet.thumbnails.medium.url)==48
return.snippet.thumbnails.medium.url is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.snippet.thumbnails.medium.url)
(return.snippet.thumbnails.medium.url)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",0.5
items.snippet.thumbnails.medium.width,return.snippet.thumbnails.medium.width == 320,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.medium.width),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.standard.height,return.snippet.thumbnails.standard.height == 480,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.standard.height),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.snippet.thumbnails.standard.url,"LENGTH(return.snippet.thumbnails.standard.url)==48
return.snippet.thumbnails.standard.url is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.snippet.thumbnails.standard.url)
(return.snippet.thumbnails.standard.url)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",0.5
items.snippet.thumbnails.standard.width,return.snippet.thumbnails.standard.width == 640,daikon.inv.unary.scalar.OneOfScalar,(return.snippet.thumbnails.standard.width),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.statistics.commentCount,return.statistics.commentCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.commentCount),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.statistics.favoriteCount,"return.statistics.favoriteCount == ""0""
LENGTH(return.statistics.favoriteCount)==1
return.statistics.favoriteCount is Numeric","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsNumeric","(return.statistics.favoriteCount)
(return.statistics.favoriteCount)
(return.statistics.favoriteCount)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.statistics.likeCount,return.statistics.likeCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.likeCount),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.statistics.viewCount,return.statistics.viewCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.viewCount),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.status.license,"return.status.license one of { ""creativeCommon"", ""youtube"" }",daikon.inv.unary.string.OneOfString,(return.status.license),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.status.madeForKids,return.status.madeForKids == false,daikon.inv.unary.scalar.OneOfScalar,(return.status.madeForKids),/youtube/v3/videos&getVideos&200&items():::EXIT,0.0
items.status.privacyStatus,"return.status.privacyStatus one of { ""public"", ""unlisted"" }",daikon.inv.unary.string.OneOfString,(return.status.privacyStatus),/youtube/v3/videos&getVideos&200&items():::EXIT,0.0
items.status.uploadStatus,"return.status.uploadStatus one of { ""processed"", ""uploaded"" }",daikon.inv.unary.string.OneOfString,(return.status.uploadStatus),/youtube/v3/videos&getVideos&200&items():::EXIT,0.0
items.suggestions,return.suggestions == null,daikon.inv.unary.scalar.OneOfScalar,(return.suggestions),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.suggestions.editorSuggestions,"return.suggestions.editorSuggestions == return.suggestions.processingErrors
return.suggestions.editorSuggestions == return.suggestions.processingHints
return.suggestions.editorSuggestions == return.suggestions.processingWarnings
return.suggestions.editorSuggestions == return.topicDetails.relevantTopicIds
return.suggestions.editorSuggestions == return.topicDetails.topicIds
return.suggestions.editorSuggestions == null","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(return.suggestions.editorSuggestions, return.suggestions.processingErrors)
(return.suggestions.editorSuggestions, return.suggestions.processingHints)
(return.suggestions.editorSuggestions, return.suggestions.processingWarnings)
(return.suggestions.editorSuggestions, return.topicDetails.relevantTopicIds)
(return.suggestions.editorSuggestions, return.topicDetails.topicIds)
(return.suggestions.editorSuggestions)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.suggestions.tagSuggestions,return.suggestions.tagSuggestions == null,daikon.inv.unary.scalar.OneOfScalar,(return.suggestions.tagSuggestions),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.topicDetails.topicCategories,"size(input.id[]) == size(return.topicDetails.topicCategories[])
All the elements of return.topicDetails.topicCategories[] are URLs
size(return.topicDetails.topicCategories[]) >= 1","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.stringsequence.SequenceStringElementsAreUrl
daikon.inv.unary.scalar.LowerBound","(size(input.id[..]), size(return.topicDetails.topicCategories[..]))
(return.topicDetails.topicCategories[..])
(size(return.topicDetails.topicCategories[..]))","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",0.6666666666666666
kind,"return.kind == ""youtube#videoListResponse""
LENGTH(return.kind)==25","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.kind)
(return.kind)","/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT",1.0
nextPageToken,LENGTH(return.nextPageToken)==6,daikon.inv.unary.string.FixedLengthString,(return.nextPageToken),/youtube/v3/videos&getVideos&200():::EXIT,1.0
pageInfo.resultsPerPage,"input.maxResults == return.pageInfo.resultsPerPage
return.pageInfo.resultsPerPage >= 1
return.pageInfo.resultsPerPage <= return.pageInfo.totalResults
return.pageInfo.resultsPerPage <= size(input.id[])
return.pageInfo.resultsPerPage >= size(return.items[])","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntGreaterEqual","(input.maxResults, return.pageInfo.resultsPerPage)
(return.pageInfo.resultsPerPage)
(return.pageInfo.resultsPerPage, return.pageInfo.totalResults)
(return.pageInfo.resultsPerPage, size(input.id[..]))
(return.pageInfo.resultsPerPage, size(return.items[..]))","/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT",0.8
pageInfo.totalResults,"return.pageInfo.totalResults >= 1
return.pageInfo.totalResults <= size(input.id[])
return.pageInfo.totalResults >= size(return.items[])","daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.pageInfo.totalResults)
(return.pageInfo.totalResults, size(input.id[..]))
(return.pageInfo.totalResults, size(return.items[..]))","/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT",0.6666666666666666
tokenPagination,return.tokenPagination == null,daikon.inv.unary.scalar.OneOfScalar,(return.tokenPagination),/youtube/v3/videos&getVideos&200():::EXIT,1.0
