endpoint,group,description,tp
get+api_v1_holidays_{holidayid},holiday.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_holidays_{holidayid},holiday.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_holidays_{holidayid},holiday.provinces.id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1.0
get+api_v1_holidays_{holidayid},holiday.provinces.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Manitoba""}",0.0
get+api_v1_holidays_{holidayid},holiday.provinces.optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_holidays_{holidayid},holiday.provinces.sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1.0
get+api_v1_provinces,provinces.holidays.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_provinces,provinces.holidays.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1.0
get+api_v1_provinces,provinces.holidays.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1.0
get+api_v1_provinces,provinces.holidays.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0.0
get+api_v1_provinces,provinces.holidays.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0.0
get+api_v1_provinces,provinces.holidays.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_provinces,provinces.holidays.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_provinces,provinces.id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1.0
get+api_v1_provinces,provinces.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Manitoba""}",0.0
get+api_v1_provinces,provinces.nextHoliday.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_provinces,provinces.nextHoliday.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1.0
get+api_v1_provinces,provinces.nextHoliday.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1.0
get+api_v1_provinces,provinces.nextHoliday.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0.0
get+api_v1_provinces,provinces.nextHoliday.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0.0
get+api_v1_provinces,provinces.nextHoliday.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_provinces,provinces.nextHoliday.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_provinces,provinces.optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_provinces,provinces.sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1.0
get+api_v1_provinces_{provinceid},province.holidays.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_provinces_{provinceid},province.holidays.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1.0
get+api_v1_provinces_{provinceid},province.holidays.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1.0
get+api_v1_provinces_{provinceid},province.holidays.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0.0
get+api_v1_provinces_{provinceid},province.holidays.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0.0
get+api_v1_provinces_{provinceid},province.holidays.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_provinces_{provinceid},province.holidays.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_provinces_{provinceid},province.id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1.0
get+api_v1_provinces_{provinceid},province.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Manitoba""}",0.0
get+api_v1_provinces_{provinceid},province.nextHoliday.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_provinces_{provinceid},province.nextHoliday.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1.0
get+api_v1_provinces_{provinceid},province.nextHoliday.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1.0
get+api_v1_provinces_{provinceid},province.nextHoliday.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0.0
get+api_v1_provinces_{provinceid},province.nextHoliday.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0.0
get+api_v1_provinces_{provinceid},province.nextHoliday.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_provinces_{provinceid},province.nextHoliday.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_provinces_{provinceid},province.optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_provinces_{provinceid},province.sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1.0
