pptname,invariant,invariantType,variables,postmanAssertion,endpoint,tp,fp,enter,invariantDescription,Unnamed: 10,groups,api,group
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,input.confidential == return.confidential,daikon.inv.binary.twoScalar.IntEqual,"(input.confidential, return.confidential)",pm.expect(input_confidential).to.eql(return_confidential),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,,GitLab Issues API,confidential
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,input.state == return.state,daikon.inv.binary.twoString.StringEqual,"(input.state, return.state)",pm.expect(input_state).to.eql(return_state),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two String scalars. Prints as x == y.,,,GitLab Issues API,state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.assignee.state == return.author.state,daikon.inv.binary.twoString.StringEqual,"(return.assignee.state, return.author.state)",pm.expect(return_assignee_state).to.eql(return_author_state),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two String scalars. Prints as x == y.,,,GitLab Issues API,assignee.state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.author.state == return.closed_by.state,daikon.inv.binary.twoString.StringEqual,"(return.author.state, return.closed_by.state)",pm.expect(return_author_state).to.eql(return_closed_by_state),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two String scalars. Prints as x == y.,,,GitLab Issues API,author.state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.closed_by.id == size(input.assignee_username[]),daikon.inv.binary.twoScalar.IntEqual,"(return.closed_by.id, size(input.assignee_username[..]))",pm.expect(return_closed_by_id).to.eql(input_assignee_username_size_array),get+groups_{id}_issues,,1.0,,Represents an invariant of == between two long scalars. Prints as x == y.,,,GitLab Issues API,closed_by.id
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.downvotes == return.merge_requests_count,daikon.inv.binary.twoScalar.IntEqual,"(return.downvotes, return.merge_requests_count)",pm.expect(return_downvotes).to.eql(return_merge_requests_count),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,,GitLab Issues API,downvotes
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.downvotes == return.task_completion_status.count,daikon.inv.binary.twoScalar.IntEqual,"(return.downvotes, return.task_completion_status.count)",pm.expect(return_downvotes).to.eql(return_task_completion_status_count),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,,GitLab Issues API,downvotes
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.downvotes == return.task_completion_status.completed_count,daikon.inv.binary.twoScalar.IntEqual,"(return.downvotes, return.task_completion_status.completed_count)",pm.expect(return_downvotes).to.eql(return_task_completion_status_completed_count),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,,GitLab Issues API,downvotes
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.downvotes == return.upvotes,daikon.inv.binary.twoScalar.IntEqual,"(return.downvotes, return.upvotes)",pm.expect(return_downvotes).to.eql(return_upvotes),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,,GitLab Issues API,downvotes
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.downvotes == return.user_notes_count,daikon.inv.binary.twoScalar.IntEqual,"(return.downvotes, return.user_notes_count)",pm.expect(return_downvotes).to.eql(return_user_notes_count),get+groups_{id}_issues,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,,GitLab Issues API,downvotes
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.assignee.avatar_url)==81,daikon.inv.unary.string.FixedLengthString,(return.assignee.avatar_url),pm.expect(return_assignee_avatar_url).to.have.length(81),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,assignee.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.assignee.avatar_url is Url,daikon.inv.unary.string.IsUrl,(return.assignee.avatar_url),"pm.expect(return_assignee_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable is always a URL. Represented as x is Url.,,,GitLab Issues API,assignee.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.assignee.state == ""active""",daikon.inv.unary.string.OneOfString,(return.assignee.state),"pm.expect([""active""].includes(return_assignee_state)).to.be.true",get+groups_{id}_issues,1.0,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,assignee.state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.assignee.state)==6,daikon.inv.unary.string.FixedLengthString,(return.assignee.state),pm.expect(return_assignee_state).to.have.length(6),get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,assignee.state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.author.avatar_url)==81,daikon.inv.unary.string.FixedLengthString,(return.author.avatar_url),pm.expect(return_author_avatar_url).to.have.length(81),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,author.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.author.avatar_url is Url,daikon.inv.unary.string.IsUrl,(return.author.avatar_url),"pm.expect(return_author_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable is always a URL. Represented as x is Url.,,,GitLab Issues API,author.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.author.state == ""active""",daikon.inv.unary.string.OneOfString,(return.author.state),"pm.expect([""active""].includes(return_author_state)).to.be.true",get+groups_{id}_issues,1.0,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,author.state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.author.state)==6,daikon.inv.unary.string.FixedLengthString,(return.author.state),pm.expect(return_author_state).to.have.length(6),get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,author.state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.author.id >= 1,daikon.inv.unary.scalar.LowerBound,(return.author.id),pm.expect(return_author_id).to.be.at.least(1),get+groups_{id}_issues,1.0,,,"Represents the invariant x >= c, where c is a constant and x is a long scalar.",,,GitLab Issues API,author.id
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.closed_at one of { ""2025-06-15T10:46:18.318Z"", ""2025-06-15T11:06:19.689Z"", ""2025-06-15T11:12:02.208Z"" }",daikon.inv.unary.string.OneOfString,(return.closed_at),"pm.expect([""2025-06-15T10:46:18.318Z"", ""2025-06-15T11:06:19.689Z"", ""2025-06-15T11:12:02.208Z""].includes(return_closed_at)).to.be.true",get+groups_{id}_issues,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,closed_at
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.closed_at)==24,daikon.inv.unary.string.FixedLengthString,(return.closed_at),pm.expect(return_closed_at).to.have.length(24),get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,closed_at
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.closed_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional),daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm,(return.closed_at),"pm.expect(return_closed_at).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)",get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable is always a timestamp. Represented as x is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional).,,,GitLab Issues API,closed_at
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.closed_by.avatar_url == ""https://www.gravatar.com/avatar/e64c7d89f26bd1972efa854d13d7dd61?s=80&d=identicon""",daikon.inv.unary.string.OneOfString,(return.closed_by.avatar_url),"pm.expect([""https://www.gravatar.com/avatar/e64c7d89f26bd1972efa854d13d7dd61?s=80&d=identicon""].includes(return_closed_by_avatar_url)).to.be.true",get+groups_{id}_issues,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,closed_by.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.closed_by.avatar_url)==81,daikon.inv.unary.string.FixedLengthString,(return.closed_by.avatar_url),pm.expect(return_closed_by_avatar_url).to.have.length(81),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,closed_by.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.closed_by.avatar_url is Url,daikon.inv.unary.string.IsUrl,(return.closed_by.avatar_url),"pm.expect(return_closed_by_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable is always a URL. Represented as x is Url.,,,GitLab Issues API,closed_by.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.closed_by.id == 1,daikon.inv.unary.scalar.OneOfScalar,(return.closed_by.id),pm.expect([1].includes(return_closed_by_id)).to.be.true,get+groups_{id}_issues,,1.0,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,closed_by.id
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.closed_by.name == ""Administrator""",daikon.inv.unary.string.OneOfString,(return.closed_by.name),"pm.expect([""Administrator""].includes(return_closed_by_name)).to.be.true",get+groups_{id}_issues,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,closed_by.name
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.closed_by.name)==13,daikon.inv.unary.string.FixedLengthString,(return.closed_by.name),pm.expect(return_closed_by_name).to.have.length(13),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,closed_by.name
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.closed_by.state == ""active""",daikon.inv.unary.string.OneOfString,(return.closed_by.state),"pm.expect([""active""].includes(return_closed_by_state)).to.be.true",get+groups_{id}_issues,1.0,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,closed_by.state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.closed_by.state)==6,daikon.inv.unary.string.FixedLengthString,(return.closed_by.state),pm.expect(return_closed_by_state).to.have.length(6),get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,closed_by.state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.closed_by.username == ""root""",daikon.inv.unary.string.OneOfString,(return.closed_by.username),"pm.expect([""root""].includes(return_closed_by_username)).to.be.true",get+groups_{id}_issues,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,closed_by.username
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.closed_by.username)==4,daikon.inv.unary.string.FixedLengthString,(return.closed_by.username),pm.expect(return_closed_by_username).to.have.length(4),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,closed_by.username
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.closed_by.web_url == ""http://localhost:30000/root""",daikon.inv.unary.string.OneOfString,(return.closed_by.web_url),"pm.expect([""http://localhost:30000/root""].includes(return_closed_by_web_url)).to.be.true",get+groups_{id}_issues,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,closed_by.web_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.closed_by.web_url)==27,daikon.inv.unary.string.FixedLengthString,(return.closed_by.web_url),pm.expect(return_closed_by_web_url).to.have.length(27),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,closed_by.web_url
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.created_at)==24,daikon.inv.unary.string.FixedLengthString,(return.created_at),pm.expect(return_created_at).to.have.length(24),get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,created_at
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional),daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm,(return.created_at),"pm.expect(return_created_at).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)",get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable is always a timestamp. Represented as x is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional).,,,GitLab Issues API,created_at
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.downvotes == 0,daikon.inv.unary.scalar.OneOfScalar,(return.downvotes),pm.expect([0].includes(return_downvotes)).to.be.true,get+groups_{id}_issues,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,downvotes
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.due_date is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.due_date),pm.expect(return_due_date).to.match(/^(?:1\d{3}|20[01234][0-9]|2050|9999)[-/.](?:0[1-9]|1[012])[-/.](?:0[1-9]|[12][0-9]|3[01])$/),get+groups_{id}_issues,1.0,,,"Indicates that the value of a string variable is always a date following the format YYYY/MM/DD or YYYY-MM-DD (the separator can be ""/"" or ""-""). Represented as x is a Date. Format YYYY/MM/DD.",,,GitLab Issues API,due_date
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.has_tasks == false,daikon.inv.unary.scalar.OneOfScalar,(return.has_tasks),pm.expect(return_has_tasks).to.eql(false),get+groups_{id}_issues,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,has_tasks
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.iid >= 1,daikon.inv.unary.scalar.LowerBound,(return.iid),pm.expect(return_iid).to.be.at.least(1),get+groups_{id}_issues,1.0,,,"Represents the invariant x >= c, where c is a constant and x is a long scalar.",,,GitLab Issues API,iid
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.milestone == null,daikon.inv.unary.scalar.OneOfScalar,(return.milestone),pm.expect(return_milestone).to.be.null,get+groups_{id}_issues,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,milestone
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.moved_to_id one of { ""5228"", ""5235"", ""5237"" }",daikon.inv.unary.string.OneOfString,(return.moved_to_id),"pm.expect([""5228"", ""5235"", ""5237""].includes(return_moved_to_id)).to.be.true",get+groups_{id}_issues,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,moved_to_id
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.moved_to_id)==4,daikon.inv.unary.string.FixedLengthString,(return.moved_to_id),pm.expect(return_moved_to_id).to.have.length(4),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,moved_to_id
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.moved_to_id is Numeric,daikon.inv.unary.string.IsNumeric,(return.moved_to_id),"pm.expect(return_moved_to_id).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",get+groups_{id}_issues,1.0,,,Indicates that the characters of a string variable are always numeric. Represented as x is Numeric.,,,GitLab Issues API,moved_to_id
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,"return.state one of { ""closed"", ""opened"" }",daikon.inv.unary.string.OneOfString,(return.state),"pm.expect([""closed"", ""opened""].includes(return_state)).to.be.true",get+groups_{id}_issues,1.0,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.state)==6,daikon.inv.unary.string.FixedLengthString,(return.state),pm.expect(return_state).to.have.length(6),get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,state
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.time_stats.time_estimate >= 0,daikon.inv.unary.scalar.LowerBound,(return.time_stats.time_estimate),pm.expect(return_time_stats_time_estimate).to.be.at.least(0),get+groups_{id}_issues,1.0,,,"Represents the invariant x >= c, where c is a constant and x is a long scalar.",,,GitLab Issues API,time_stats.time_estimate
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.time_stats.total_time_spent >= 0,daikon.inv.unary.scalar.LowerBound,(return.time_stats.total_time_spent),pm.expect(return_time_stats_total_time_spent).to.be.at.least(0),get+groups_{id}_issues,1.0,,,"Represents the invariant x >= c, where c is a constant and x is a long scalar.",,,GitLab Issues API,time_stats.total_time_spent
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,LENGTH(return.updated_at)==24,daikon.inv.unary.string.FixedLengthString,(return.updated_at),pm.expect(return_updated_at).to.have.length(24),get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,updated_at
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,return.updated_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional),daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm,(return.updated_at),"pm.expect(return_updated_at).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)",get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable is always a timestamp. Represented as x is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional).,,,GitLab Issues API,updated_at
