endpoint,group,response resource,attribute,description
get+v1_tax_rates,data.tax_type,tax_rate,tax_type,"The high-level tax type, such as `vat` or `sales_tax`. {""enum"": [""amusement_tax"", ""communications_tax"", ""gst"", ""hst"", ""igst"", ""jct"", ""lease_tax"", ""pst"", ""qst"", ""rst"", ""sales_tax"", ""vat""], ""nullable"": true, ""type"": ""string"", ""x-stripeBypassValidation"": true}"
get+v1_tax_rates,object,,object,nan
get+v1_tax_rates,url,,url,nan
get+v1_test_helpers_test_clocks,data.created,test_helpers.test_clock,created,"Time at which the object was created. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
get+v1_test_helpers_test_clocks,data.deletes_after,test_helpers.test_clock,deletes_after,"Time at which this clock is scheduled to auto delete. {""format"": ""unix-time"", ""type"": ""integer""}"
get+v1_test_helpers_test_clocks,data.frozen_time,test_helpers.test_clock,frozen_time,"Time at which all objects belonging to this clock are frozen. {""format"": ""unix-time"", ""type"": ""integer""}"
get+v1_test_helpers_test_clocks,data.id,test_helpers.test_clock,id,"Unique identifier for the object. {""maxLength"": 5000, ""type"": ""string""}"
get+v1_test_helpers_test_clocks,data.name,test_helpers.test_clock,name,"The custom name supplied at creation. {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}"
get+v1_test_helpers_test_clocks,data.object,test_helpers.test_clock,object,"String representing the object's type. Objects of the same type share the same value. {""enum"": [""test_helpers.test_clock""], ""type"": ""string""}"
get+v1_test_helpers_test_clocks,data.object,test_helpers.test_clock,object,"String representing the object's type. Objects of the same type share the same value. Always has the value `list`. {""enum"": [""list""], ""type"": ""string""}"
get+v1_test_helpers_test_clocks,data.status,test_helpers.test_clock,status,"The status of the Test Clock. {""enum"": [""advancing"", ""internal_failure"", ""ready""], ""type"": ""string""}"
get+v1_test_helpers_test_clocks,url,,url,nan
get+v1_webhook_endpoints,data.api_version,webhook_endpoint,api_version,"The API version events are rendered as for this webhook endpoint. {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}"
get+v1_webhook_endpoints,data.application,webhook_endpoint,application,"The ID of the associated Connect application. {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}"
get+v1_webhook_endpoints,data.created,webhook_endpoint,created,"Time at which the object was created. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
get+v1_webhook_endpoints,data.description,webhook_endpoint,description,"An optional description of what the webhook is used for. {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}"
get+v1_webhook_endpoints,data.id,webhook_endpoint,id,"Unique identifier for the object. {""maxLength"": 5000, ""type"": ""string""}"
get+v1_webhook_endpoints,data.metadata,webhook_endpoint,metadata,"Set of [key-value pairs](https://stripe.com/docs/api/metadata) that you can attach to an object. This can be useful for storing additional information about the object in a structured format. {""additionalProperties"": {""maxLength"": 500, ""type"": ""string""}, ""type"": ""object""}"
get+v1_webhook_endpoints,data.object,webhook_endpoint,object,"String representing the object's type. Objects of the same type share the same value. {""enum"": [""webhook_endpoint""], ""type"": ""string""}"
get+v1_webhook_endpoints,data.secret,webhook_endpoint,secret,"The endpoint's secret, used to generate [webhook signatures](https://stripe.com/docs/webhooks/signatures). Only returned at creation. {""maxLength"": 5000, ""type"": ""string""}"
get+v1_webhook_endpoints,data.status,webhook_endpoint,status,"The status of the webhook. It can be `enabled` or `disabled`. {""maxLength"": 5000, ""type"": ""string""}"
get+v1_webhook_endpoints,data.url,webhook_endpoint,url,"The URL of the webhook endpoint. {""maxLength"": 5000, ""type"": ""string""}"
get+v1_webhook_endpoints,object,,object,nan
get+v1_webhook_endpoints,url,,url,nan
post+v1_account_links,created,account_link,created,"Time at which the object was created. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_account_links,expires_at,account_link,expires_at,"The timestamp at which this account link will expire. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_account_links,object,account_link,object,"String representing the object's type. Objects of the same type share the same value. {""enum"": [""account_link""], ""type"": ""string""}"
post+v1_account_links,url,account_link,url,"The URL for the account link. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_apple_pay_domains,created,apple_pay_domain,created,"Time at which the object was created. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_apple_pay_domains,domain_name,apple_pay_domain,domain_name," {""maxLength"": 5000, ""type"": ""string""}"
post+v1_apple_pay_domains,id,apple_pay_domain,id,"Unique identifier for the object. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_apple_pay_domains,object,apple_pay_domain,object,"String representing the object's type. Objects of the same type share the same value. {""enum"": [""apple_pay_domain""], ""type"": ""string""}"
post+v1_ephemeral_keys,created,ephemeral_key,created,"Time at which the object was created. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_ephemeral_keys,expires,ephemeral_key,expires,"Time at which the key will expire. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_ephemeral_keys,id,ephemeral_key,id,"Unique identifier for the object. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_ephemeral_keys,object,ephemeral_key,object,"String representing the object's type. Objects of the same type share the same value. {""enum"": [""ephemeral_key""], ""type"": ""string""}"
post+v1_ephemeral_keys,secret,ephemeral_key,secret,"The key's secret. You can use this value to make authorized requests to the Stripe API. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_radar_value_list_items,created,radar.value_list_item,created,"Time at which the object was created. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_radar_value_list_items,created_by,radar.value_list_item,created_by,"The name or email address of the user who added this item to the value list. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_radar_value_list_items,id,radar.value_list_item,id,"Unique identifier for the object. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_radar_value_list_items,object,radar.value_list_item,object,"String representing the object's type. Objects of the same type share the same value. {""enum"": [""radar.value_list_item""], ""type"": ""string""}"
post+v1_radar_value_list_items,value,radar.value_list_item,value,"The value of the item. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_radar_value_list_items,value_list,radar.value_list_item,value_list,"The identifier of the value list this item belongs to. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_test_helpers_test_clocks,created,test_helpers.test_clock,created,"Time at which the object was created. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_test_helpers_test_clocks,deletes_after,test_helpers.test_clock,deletes_after,"Time at which this clock is scheduled to auto delete. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_test_helpers_test_clocks,frozen_time,test_helpers.test_clock,frozen_time,"Time at which all objects belonging to this clock are frozen. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_test_helpers_test_clocks,id,test_helpers.test_clock,id,"Unique identifier for the object. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_test_helpers_test_clocks,name,test_helpers.test_clock,name,"The custom name supplied at creation. {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}"
post+v1_test_helpers_test_clocks,object,test_helpers.test_clock,object,"String representing the object's type. Objects of the same type share the same value. {""enum"": [""test_helpers.test_clock""], ""type"": ""string""}"
post+v1_test_helpers_test_clocks,status,test_helpers.test_clock,status,"The status of the Test Clock. {""enum"": [""advancing"", ""internal_failure"", ""ready""], ""type"": ""string""}"
post+v1_webhook_endpoints,api_version,webhook_endpoint,api_version,"The API version events are rendered as for this webhook endpoint. {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}"
post+v1_webhook_endpoints,application,webhook_endpoint,application,"The ID of the associated Connect application. {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}"
post+v1_webhook_endpoints,created,webhook_endpoint,created,"Time at which the object was created. Measured in seconds since the Unix epoch. {""format"": ""unix-time"", ""type"": ""integer""}"
post+v1_webhook_endpoints,description,webhook_endpoint,description,"An optional description of what the webhook is used for. {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}"
post+v1_webhook_endpoints,id,webhook_endpoint,id,"Unique identifier for the object. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_webhook_endpoints,metadata,webhook_endpoint,metadata,"Set of [key-value pairs](https://stripe.com/docs/api/metadata) that you can attach to an object. This can be useful for storing additional information about the object in a structured format. {""additionalProperties"": {""maxLength"": 500, ""type"": ""string""}, ""type"": ""object""}"
post+v1_webhook_endpoints,object,webhook_endpoint,object,"String representing the object's type. Objects of the same type share the same value. {""enum"": [""webhook_endpoint""], ""type"": ""string""}"
post+v1_webhook_endpoints,secret,webhook_endpoint,secret,"The endpoint's secret, used to generate [webhook signatures](https://stripe.com/docs/webhooks/signatures). Only returned at creation. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_webhook_endpoints,status,webhook_endpoint,status,"The status of the webhook. It can be `enabled` or `disabled`. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_webhook_endpoints,url,webhook_endpoint,url,"The URL of the webhook endpoint. {""maxLength"": 5000, ""type"": ""string""}"
post+v1_tax_rates,country,tax_rate,country,nan
get+v1_tax_rates,data.display_name,tax_rate,display_name,nan
post+v1_tax_rates,created,tax_rate,created,nan
post+v1_tax_rates,description,tax_rate,description,nan
post+v1_tax_rates,display_name,tax_rate,display_name,nan
post+v1_tax_rates,effective_percentage,tax_rate,effective_percentage,nan
post+v1_tax_rates,id,tax_rate,id,nan
post+v1_tax_rates,jurisdiction,tax_rate,jurisdiction,nan
post+v1_tax_rates,jurisdiction_level,tax_rate,jurisdiction_level,nan
post+v1_tax_rates,object,tax_rate,object,nan
post+v1_tax_rates,percentage,tax_rate,percentage,nan
post+v1_tax_rates,state,tax_rate,state,nan
post+v1_tax_rates,tax_type,tax_rate,tax_type,nan
