operation,response resource,attribute,group,description,part,corresponding attribute,corresponding attribute description,tp
post-/groups,Group,description,description,,requestBody,description,The group's description,1
post-/groups,Group,full_path,full_path,,requestBody,path,The path of the group,1
post-/groups/{id}/hooks,Hook,push_events,push_events,,parameters,push_events,Trigger hook on push events,1
post-/groups/{id}/hooks,Hook,confidential_issues_events,confidential_issues_events,,parameters,confidential_issues_events,Trigger hook on confidential issues events,1
post-/groups/{id}/hooks,Hook,note_events,note_events,,parameters,note_events,Trigger hook on note events,1
post-/groups/{id}/hooks,Hook,confidential_note_events,confidential_note_events,,parameters,confidential_note_events,Trigger hook on confidential note events,1
post-/groups/{id}/hooks,Hook,pipeline_events,pipeline_events,,parameters,pipeline_events,Trigger hook on pipeline events,1
post-/groups/{id}/hooks,Hook,wiki_page_events,wiki_page_events,,parameters,wiki_page_events,Trigger hook on wiki events,1
post-/groups/{id}/hooks,Hook,group_id,group_id,,parameters,id,The ID orURL-encoded path of the group,1
post-/groups/{id}/projects/{project_id},SharedProject,id,id,,parameters,project_id,The ID orURL-encoded path of the project,0
post-/groups/{id}/share,GroupDetails,id,id,,parameters,group_id,The ID of the group to share with,1
put-/groups/{id},GroupDetails,name,name,,parameters,name,The name of the group,1
put-/groups/{id},GroupDetails,path,path,,parameters,path,The path of the group,1
put-/groups/{id},GroupDetails,description,description,,parameters,description,The description of the group,1
put-/groups/{id},GroupDetails,visibility,visibility,,parameters,visibility,"The visibility level of the group. Can beprivate,internal, orpublic",1
put-/groups/{id},GroupDetails,full_path,full_path,,parameters,path,The path of the group,1
put-/groups/{id},GroupDetails,request_access_enabled,request_access_enabled,,parameters,request_access_enabled,Allow users to request member access,1
put-/groups/{id}/hooks/{hook_id},Hook,url,url,,parameters,url,The hook URL,1
put-/groups/{id}/hooks/{hook_id},Hook,issues_events,issues_events,,parameters,issues_events,Trigger hook on issues events,1
put-/groups/{id}/hooks/{hook_id},Hook,merge_requests_events,merge_requests_events,,parameters,merge_requests_events,Trigger hook on merge requests events,1
put-/groups/{id}/hooks/{hook_id},Hook,tag_push_events,tag_push_events,,parameters,tag_push_events,Trigger hook on tag push events,1
put-/groups/{id}/hooks/{hook_id},Hook,job_events,job_events,,parameters,job_events,Trigger hook on job events,1
put-/groups/{id}/hooks/{hook_id},Hook,deployment_events,deployment_events,,parameters,deployment_events,Trigger hook on deployment events,1
put-/groups/{id}/hooks/{hook_id},Hook,releases_events,releases_events,,parameters,releases_events,Trigger hook on release events,1
put-/groups/{id}/hooks/{hook_id},Hook,enable_ssl_verification,enable_ssl_verification,,parameters,enable_ssl_verification,Do SSL verification when triggering the hook,1
