group,invariant,invariantType,variables,pptname,tp
data.offers.price.taxes.pricingMode,"return.pricingMode one of { ""PER_OCCUPANT"", ""PER_PRODUCT"" }",daikon.inv.unary.string.OneOfString,(return.pricingMode),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,1.0
data.offers.price.total,return.price.total is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.total),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,1.0
data.offers.price.variations.average.base,return.price.variations.average.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.variations.average.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,1.0
data.offers.price.variations.changes.base,return.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT,1.0
data.offers.price.variations.changes.endDate,return.endDate is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.endDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT,1.0
data.offers.price.variations.changes.startDate,return.startDate is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.startDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT,1.0
data.offers.rateFamilyEstimated.code,LENGTH(return.rateFamilyEstimated.code)==3,daikon.inv.unary.string.FixedLengthString,(return.rateFamilyEstimated.code),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,1.0
data.offers.room.description.lang,"return.room.description.lang == return.policies.cancellation.description.lang
LENGTH(return.room.description.lang)==2","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.FixedLengthString","(return.room.description.lang, return.policies.cancellation.description.lang)
(return.room.description.lang)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",1.0
data.offers.room.type,LENGTH(return.room.type)==3,daikon.inv.unary.string.FixedLengthString,(return.room.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,1.0
data.offers.self,"return.self is Url
input.lang is a substring of return.self","daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString","(return.self)
(input.lang, return.self)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",1.0
data.self,"return.self is Url
input.checkInDate is a substring of return.self
input.checkOutDate is a substring of return.self
input.countryOfResidence is a substring of return.self
input.currency is a substring of return.self
input.paymentPolicy is a substring of return.self
input.boardType is a substring of return.self
input.lang is a substring of return.self
return.hotel.hotelId is a substring of return.self","daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.self)
(input.checkInDate, return.self)
(input.checkOutDate, return.self)
(input.countryOfResidence, return.self)
(input.currency, return.self)
(input.paymentPolicy, return.self)
(input.boardType, return.self)
(input.lang, return.self)
(return.self, return.hotel.hotelId)","/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT",1.0
data.type,"return.type == ""hotel-offers""
LENGTH(return.type)==12
return.type is a substring of return.self
return.hotel.type is a substring of return.type","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.type)
(return.type)
(return.type, return.self)
(return.type, return.hotel.type)","/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT",1.0
